Appareil suivi,Consommation annuelle  AN1,Consommation annuelle AN2,Total des deux années,Type
Audio_TV,22.2,16.7,38.9,Barre De Son
Audio_TV,14.7,13.0,27.7,Barre De Son
Audio_TV,7.8,7.8,15.6,Barre De Son
Audio_TV,7.9,7.5,15.4,Barre De Son
Audio_TV,6.4,6.9,13.3,Barre De Son 2
Audio_TV,10.0,14.0,24.0,Home Cinéma
Audio_TV,0.5,0.0,0.5,Home Cinéma
Audio_TV,18.7,1.2,19.9,Home Cinéma
Audio_TV,6.6,0.3,6.9,Home Cinéma
Audio_TV,1.1,1.1,2.2,Home Cinéma
Audio_TV,59.3,115.6,174.9,Home Cinéma
Chaudières,175.2,216.8,392.0,GAZ
Chaudières,195.0,83.0,278.0,GAZ
Chaudières,49.6,52.9,102.5,GAZ
Chaudières,96.7,117.4,214.1,FIOUL
Chaudières,589.7,478.1,1067.8,GAZ
Chaudières,364.5,567.2,931.7,GAZ
Chaudières,226.8,175.5,402.3,GAZ
Chaudières,62.6,59.4,122.0,GAZ
Chaudières,93.6,92.7,186.3,GAZ
Chaudières,123.9,168.2,292.1,GAZ
Chaudières,273.4,215.5,488.9,GAZ
Chaudières,287.3,279.2,566.5,GAZ
Chaudières,88.9,103.8,192.7,GAZ
Chaudières,83.1,85.0,168.1,GAZ
Chaudières,235.4,225.5,460.9,GAZ
Chaudières,72.6,131.2,203.8,FIOUL
Chaudières,347.2,307.0,654.2,GAZ
Chaudières,233.2,196.7,429.9,GAZ
Chaudières,126.6,141.3,267.9,GAZ
Chaudières,201.5,203.6,405.1,GAZ
Chaudières,318.6,403.0,721.6,GAZ
Chaudières,196.2,199.0,395.2,GAZ
Chaudières,371.9,532.8,904.7,FIOUL
Chaudières,111.9,137.1,249.0,GAZ
Chaudières,903.8,784.8,1688.6,FIOUL
Chaudières,613.3,364.9,978.2,FIOUL
Chaudières,63.7,69.7,133.4,GAZ
Chaudières,93.4,110.5,203.9,GAZ
Clim_mob_rafraich_Déshum,6.0,79.9,85.9,CLIMATISEUR SUR PRISE
Clim_mob_rafraich_Déshum,1404.8,1377.0,2781.8,DÉSHUMIDIFCATEUR
Clim_mob_rafraich_Déshum,3.8,188.0,191.8,DÉSHUMIDIFCATEUR
Clim_mob_rafraich_Déshum,29.3,0.0,29.3,RAFRAICHISSEUR SUR PRISE
Clim_mob_rafraich_Déshum,8.4,7.1,15.5,RAFRAICHISSEUR SUR PRISE
Congélateur,115.9,208.8,324.7,ARMOIRE
Congélateur,113.3,122.1,235.4,ARMOIRE
Congélateur,109.1,98.2,207.3,ARMOIRE
Congélateur,267.4,271.3,538.7,ARMOIRE
Congélateur,162.2,155.7,317.9,ARMOIRE
Congélateur,109.0,80.0,189.0,ARMOIRE
Congélateur,701.1,766.0,1467.1,ARMOIRE
Congélateur,262.7,258.5,521.2,ARMOIRE
Congélateur,441.5,449.0,890.5,ARMOIRE
Congélateur,308.2,222.7,530.9,ARMOIRE
Congélateur,169.2,150.3,319.5,ARMOIRE
Congélateur,201.3,409.0,610.3,ARMOIRE
Congélateur,388.0,372.2,760.2,ARMOIRE
Congélateur,225.0,182.4,407.4,ARMOIRE
Congélateur,152.8,163.7,316.5,ARMOIRE
Congélateur,589.8,201.1,790.9,ARMOIRE
Congélateur,30.8,210.2,241.0,ARMOIRE
Congélateur,231.3,228.2,459.5,ARMOIRE
Congélateur,626.9,639.1,1266.0,ARMOIRE
Congélateur,303.3,319.1,622.4,ARMOIRE
Congélateur,295.0,312.1,607.1,ARMOIRE
Congélateur,259.6,268.3,527.9,ARMOIRE
